Name,RGB,Red,Green,Blue,First Year,Last Year
Dark Red,720E0F,114,14,15,1961,2023
Coral,FF698F,255,105,143,2019,2023
Bright Pink,E4ADC8,228,173,200,2003,2023
Dark Pink,C870A0,200,112,160,2002,2023
Magenta,923978,146,57,120,2000,2023
Medium Lavender,AC78BA,172,120,186,2011,2023
Lavender,E1D5ED,225,213,237,2011,2023
Dark Purple,3F3691,63,54,145,2000,2023
Sand Blue,6074A1,96,116,161,1965,2023
Blue,0055BF,0,85,191,1949,2023
Medium Blue,5A93DB,90,147,219,1984,2023
Dark Blue,0A3463,10,52,99,1961,2023
Bright Light Blue,9FC3E9,159,195,233,2004,2023
Dark Azure,078BC9,7,139,201,2011,2023
Medium Azure,36AEBF,54,174,191,2012,2023
Dark Turquoise,008F9B,0,143,155,1998,2023
Light Aqua,ADC3C0,173,195,192,2011,2023
Dark Green,184632,24,70,50,1961,2023
Sand Green,A0BCAC,160,188,172,1964,2023
Green,237841,35,120,65,1949,2023
Bright Green,4B9F4A,75,159,74,1949,2023
Lime,BBE90B,187,233,11,1997,2023
Yellowish Green,DFEEA5,223,238,165,2012,2023
Olive Green,9B9A5A,155,154,90,2012,2023
Vibrant Yellow,EBD800,235,216,0,2022,2023
Bright Light Yellow,FFF03A,255,240,58,2004,2023
Yellow,F2CD37,242,205,55,1949,2023
Bright Light Orange,F8BB3D,248,187,61,2003,2023
Tan,E4CD9E,228,205,158,1958,2023
Dark Tan,958A73,149,138,115,1961,2023
Dark Brown,352100,53,33,0,2008,2023
Warm Tan,CCA373,204,163,115,2003,2023
Light Nougat,F6D7B3,246,215,179,1997,2023
Dark Orange,A95500,169,85,0,1994,2023
Orange,FE8A18,254,138,24,1997,2023
Medium Nougat,AA7D55,170,125,85,2000,2023
Medium Brown,755945,117,89,69,2022,2023
Nougat,D09168,208,145,104,1979,2023
Reddish Brown,582A12,88,42,18,1961,2023
Red,C91A09,201,26,9,1949,2023
Light Bluish Gray,A0A5A9,160,165,169,2002,2023
Dark Bluish Gray,6C6E68,108,110,104,2003,2023
Black,05131D,5,19,29,1957,2023
White,FFFFFF,255,255,255,1949,2023
